Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,avg_aqi
05/08/2018,AQS,370030005,1,0.058,ppm,61,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3255
05/09/2018,AQS,370030005,1,0.06,ppm,67,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3322
05/10/2018,AQS,370030005,1,0.054,ppm,50,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3372
05/11/2018,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3426
05/12/2018,AQS,370030005,1,0.058,ppm,61,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3487
05/13/2018,AQS,370030005,1,0.055,ppm,51,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3538
05/14/2018,AQS,370030005,1,0.059,ppm,64,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3602
05/15/2018,AQS,370030005,1,0.033,ppm,31,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3633
05/16/2018,AQS,370030005,1,0.027,ppm,25,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3658
05/17/2018,AQS,370030005,1,0.039,ppm,36,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3694
05/18/2018,AQS,370030005,1,0.03,ppm,28,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3722
05/19/2018,AQS,370030005,1,0.037,ppm,34,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3756
05/20/2018,AQS,370030005,1,0.039,ppm,36,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3792
05/21/2018,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3829
05/22/2018,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3862
05/23/2018,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3899
05/24/2018,AQS,370030005,1,0.052,ppm,48,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3947
05/25/2018,AQS,370030005,1,0.034,ppm,31,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3978
05/26/2018,AQS,370030005,1,0.026,ppm,24,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4002
05/27/2018,AQS,370030005,1,0.027,ppm,25,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4027
05/28/2018,AQS,370030005,1,0.02,ppm,19,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4046
05/29/2018,AQS,370030005,1,0.026,ppm,24,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4070
05/30/2018,AQS,370030005,1,0.026,ppm,24,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4094
05/31/2018,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4127
06/01/2018,AQS,370030005,1,0.041,ppm,38,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4165
06/02/2018,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4202
06/03/2018,AQS,370030005,1,0.048,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4246
06/04/2018,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4300
06/05/2018,AQS,370030005,1,0.058,ppm,61,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4361
06/06/2018,AQS,370030005,1,0.058,ppm,61,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4422
06/07/2018,AQS,370030005,1,0.055,ppm,51,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4473
06/08/2018,AQS,370030005,1,0.063,ppm,77,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4550
06/09/2018,AQS,370030005,1,0.064,ppm,80,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,4630
